"Season","Conference","Team","Offense Overall","Offense Passing","Offense Rushing","Offense Cumulative Total","Offense Cumulative Passing","Offense Cumulative Rushing","Defense Overall","Defense Passing","Defense Rushing","Defense Cumulative Total","Defense Cumulative Passing","Defense Cumulative Rushing"
"2023","Mountain West","Air Force","0.38459016690997197266","0.61596230574965549167","0.36503759179675928092","59.226885704135683790","7.39154766899586590","51.835338035139817890","-0.05496454299062019566","-0.02544978457930485421","-0.00271885869949638398","-5.826241557005740740","-1.348838582703157273","-0.141380652373811967"
"2023","Mid-American","Akron","-0.08107724834317039106","0.15529288876940068074","-0.11781298867660058738","-8.1077248343170391060","8.8516946598558388019","-4.5947065583874229079","-0.04763524998220468643","0.15965034034314520110","-0.29270653872408564193","-6.66893499750865610","13.09132790813790649","-16.68427270727288159"
"2023","SEC","Alabama","0.33663322747070001942","0.43934949303005263760","0.23973109015055604000","34.67322242948210200","21.96747465150263188","12.70574777797947012","0.17328234685015877514","0.30004613278611664887","0.05988707632259825854","19.234340500367624040","18.602860232739232230","2.87457966348471641"
"2023","Sun Belt","Appalachian State","0.34092419163247179680","0.55909110318741968431","0.21814207853754337905","51.138628744870769520","36.340921707182279480","18.32393459715364384","0.30623502153522216257","0.23272091939698003679","0.44411414468670579749","44.0978431010719914095","18.15223171296444287","28.4233052599491710395"
"2023","Pac-12","Arizona","0.35092404098265813093","0.61247401264884948467","0.19330185758292282000","36.145176221213787486","34.911018720984420626","8.11867801848275844","-0.09416299080370914253","0.20068409910529425986","-0.09112971105210003148","-9.133810107959786825","7.023943468685299095","-5.55891237417810192"
"2023","Pac-12","Arizona State","0.14725116438222834131","0.27848831591714299929","0.15781571552001181625","18.7008978765429993465","16.9877872709457229565","10.10020579328075624","0.06790266764193757797","0.16886640283625023932","-0.01765981981086976215","7.401390772971195999","8.443320141812511966","-1.041929368841315967"
"2023","SEC","Arkansas","0.46795275579105784628","0.60028971802239528952","0.38966891897815400662","52.87866140438953663","25.21216815694060216","27.66649324744893447","-0.10385703683814749701","-0.20523578451569830309","-0.00483993068309466043","-8.827848131242537246","-8.825138734175027033","-0.193597227323786417"
"2023","Sun Belt","Arkansas State","-0.15752744648865109208","-0.08265407997202904115","-0.19249860268211973202","-12.12961337962613409000","-4.13270399860145205745","-5.00496366973511303255","0.41798481734668698989","0.68522850769601591184","0.13331219067022792087","39.708557647935264040","33.576196877104779680","6.13236077083048436"
"2023","FBS Independents","Army","0.26058048860556995775","0.93264985855497826222","0.08821083299836683117","42.995780619919043028","33.57539490797921744","11.202775790792587558","0.11160685223125606869","0.07949516326985980217","0.16075356711318444865","16.852634686919666372","6.200622735049064569","11.574256832149280303"
"2023","SEC","Auburn","0.25507537980447122198","0.33293622270125284417","0.21434493572549950305","24.487236461229237310","11.98570401724510239","12.646351207804470680","-0.07004543402300303446","-0.29406032161933219154","0.21477000800410810532","-7.284725138392315584","-15.29113672420527396","10.738500400205405266"
"2023","Mid-American","Ball State","-0.04961180894189268171","0.11615762879959061324","-0.20688024987612042308","-3.77049747958384381","4.29783226558485269","-8.06832974516869650","0.28874396133024970152","0.35030163599883047511","0.29176446557417325576","22.81077294508972642","15.76357361994737138","9.62822736394771744"
"2023","Big 12","Baylor","0.21434631656088131858","0.48241968768319339442","-0.04016006917682194974","28.293713786036334052","35.699056888556311187","-2.289123943078851135","0.27495868315626759598","0.39962236079544724419","0.18301922089737260543","38.219256958721195841","23.577719286931387407","14.641537671789808434"
"2023","Mountain West","Boise State","0.12956478447393828367","0.11554989571042282938","0.22376821656194717632","14.122561507659272920","6.701893951204524104","11.188410828097358816","0.31836452562590613471","0.64965057491383395682","0.16853692012718074154","32.791546139468331875","33.132179320605531798","8.426846006359037077"
"2023","ACC","Boston College","0.20074644855634339197","0.01134508574457624750","0.36390594813363197314","25.49479896665561078","0.63532480169626986","25.47341636935423812","0.20454783767026676673","0.25293116335582623647","0.17854180011427855175","25.159384033442812308","10.876040024300528168","14.28334400914228414"
"2023","Mid-American","Bowling Green","0.34582256510098221063","0.52408461630340299034","0.31303269656672482585","39.769594986612954222","30.39690774559737344","16.59073291803641577","0.12193117740622740127","0.31634052315988558322","0.17242293765728152436","14.6317412887472881520","16.133366681154164744","11.3799138853805806080"
"2023","Mid-American","Buffalo","-0.00547810101997903913","0.08002509612228170045","-0.12341354535413178338","-0.377988970378553700","3.201003844891268018","-3.578992815269821718","0.29247571836148703463","0.22640203510500423860","0.40820274861043171868","20.1808245669426053895","6.5656590180451229195","15.51170444719640531"
"2023","Big 12","BYU","0.19497035735005494727","0.30040580115584712831","0.10871444981697669150","21.641709665856099147","18.625159671662521955","5.218293591214881192","0.01629096496532832838","0.15279828960829699535","0.00521500916690684664","1.6128055315675045095","8.403905928456334744","0.2086003666762738655"
"2023","Pac-12","California","0.21780854632433268529","0.21032410629827641521","0.30595583231494748691","32.453473402325570108","14.93301154717762548","22.946687423621061518","0.12850105651685859402","0.33070266958252267315","0.01937407178956469915","12.464602482135283620","13.228106783300906926","1.046199876636493754"
"2023","Mid-American","Central Michigan","0.13570919138563577915","0.15015971279521507295","0.21899710229056600753","15.877975392119386160","5.856228799013387845","16.424782671792450565","0.35695396366825252587","0.53936451781386245756","-0.02314235495919686684","43.19142960385855563","44.22789046073672152","-0.87940948844948094"
"2023","American Athletic","Charlotte","0.11229907052252404461","0.12047616614624859369","0.22217546091598805441","12.240598686955120862","4.216665815118700779","15.774457725035151863","0.04280012721051667008","0.03792402599793313198","0.12197063422764337887","5.307215774104067090","2.047897403888389127","8.294003127479749763"
