"Season","Week","Season Type","Neutral Site","Venue","Home Team","Home Conference","Home Division","Home Points","Home Post Win Prob","Home Pregame Elo","Home Postgame Elo","Away Team","Away Conference","Away Division","Away Points","Away Post Win Prob","Away Pregame Elo","Away Postgame Elo"
"2023","1","regular","false","Vaught-Hemingway Stadium","Ole Miss","SEC","fbs","73","0.9986998205542056","1589","1589","Mercer","Southern","fcs","7","0.0013001794457944138","",""
"2023","1","regular","false","Jack Trice Stadium","Iowa State","Big 12","fbs","30","0.9979657026164329","1536","1536","Northern Iowa","MVFC","fcs","9","0.0020342973835670852","",""
"2023","1","regular","false","Lincoln Financial Field","Temple","American Athletic","fbs","24","0.5725468565105022","1262","1263","Akron","Mid-American","fbs","21","0.4274531434894978","1269","1268"
"2023","1","regular","false","Peden Stadium","Ohio","Mid-American","fbs","27","0.9979553715288099","1366","1366","Long Island University","NEC","fcs","10","0.0020446284711901352","",""
"2023","1","regular","false","JSU Stadium","Jacksonville State","Conference USA","fbs","49","0.9942319962926359","1300","1300","East Tennessee State","Southern","fcs","3","0.005768003707364078","",""
"2023","1","regular","false","Autzen Stadium","Oregon","Pac-12","fbs","81","0.9989369810003825","1649","1649","Portland State","Big Sky","fcs","7","0.001063018999617471","",""
"2023","1","regular","false","Notre Dame Stadium","Notre Dame","FBS Independents","fbs","56","0.9989695643205501","1909","1909","Tennessee State","Big South-OVC","fcs","3","0.001030435679449937","",""
"2023","1","regular","false","Heinz Field","Pittsburgh","ACC","fbs","45","0.9989151704141873","1624","1624","Wofford","Southern","fcs","7","0.0010848295858126855","",""
"2023","1","regular","false","Darrell K Royal-Texas Memorial Stadium","Texas","Big 12","fbs","37","0.8190307757940825","1766","1776","Rice","American Athletic","fbs","10","0.18096922420591754","1204","1194"
"2023","1","regular","false","Memorial Stadium","Indiana","Big Ten","fbs","3","0.015602526587760375","1388","1389","Ohio State","Big Ten","fbs","23","0.9843974734122396","1904","1903"
"2023","1","regular","false","Jordan-Hare Stadium","Auburn","SEC","fbs","59","0.996945784251291","1564","1638","UMass","FBS Independents","fbs","14","0.0030542157487090105","1122","1048"
"2023","1","regular","false","Maryland Stadium","Maryland","Big Ten","fbs","38","0.998232097950272","1596","1596","Towson","CAA","fcs","6","0.0017679020497279874","",""
"2023","1","regular","false","Camp Randall Stadium","Wisconsin","Big Ten","fbs","38","0.9932720875442714","1637","1665","Buffalo","Mid-American","fbs","17","0.0067279124557285686","1424","1396"
"2023","1","regular","false","Houchens Industries-L. T. Smith Stadium","Western Kentucky","Conference USA","fbs","41","0.43433474880389344","1628","1632","South Florida","American Athletic","fbs","24","0.5656652511961066","1253","1249"
"2023","1","regular","false","Husky Stadium","Washington","Pac-12","fbs","56","0.9956741272816851","1673","1774","Boise State","Mountain West","fbs","19","0.00432587271831486","1641","1540"
"2023","1","regular","false","Kidd Brewer Stadium","Appalachian State","Sun Belt","fbs","45","0.9889692074335229","1562","1562","Gardner-Webb","Big South-OVC","fcs","24","0.011030792566477099","",""
"2023","1","regular","false","Nippert Stadium","Cincinnati","Big 12","fbs","66","0.9989357538894403","1626","1626","Eastern Kentucky","UAC","fcs","13","0.0010642461105596634","",""
"2023","1","regular","true","War Memorial Stadium","Arkansas","SEC","fbs","56","0.9988972468930762","1624","1624","Western Carolina","Southern","fcs","13","0.0011027531069237595","",""
"2023","1","regular","false","Allegiant Stadium","UNLV","Mountain West","fbs","44","0.9109065971653778","1350","1350","Bryant","Big South-OVC","fcs","14","0.08909340283462219","",""
"2023","1","regular","false","Davis Wade Stadium","Mississippi State","SEC","fbs","48","0.9975162902253654","1629","1629","Southeastern Louisiana","Southland","fcs","7","0.002483709774634635","",""
"2023","1","regular","false","Apogee Stadium","North Texas","American Athletic","fbs","21","0.00334194677667614","1472","1357","California","Pac-12","fbs","58","0.9966580532233239","1437","1552"
"2023","1","regular","false","Carrier Dome","Syracuse","ACC","fbs","65","0.9989691126834638","1476","1476","Colgate","Patriot","fcs","0","0.001030887316536222","",""
"2023","1","regular","false","Sanford Stadium","Georgia","SEC","fbs","48","0.9988458144967923","2033","2033","UT Martin","Big South-OVC","fcs","7","0.001154185503207672","",""
"2023","1","regular","false","Joan C. Edwards Stadium","Marshall","Sun Belt","fbs","21","0.9937266966209883","1542","1542","Albany","CAA","fcs","17","0.006273303379011663","",""
"2023","1","regular","false","Jerry Richardson Stadium","Charlotte","American Athletic","fbs","24","0.9979829331702108","1220","1220","South Carolina State","MEAC","fcs","3","0.0020170668297891936","",""
"2023","1","regular","false","FAU Stadium","Florida Atlantic","American Athletic","fbs","42","0.9987531737967843","1424","1424","Monmouth","CAA","fcs","20","0.0012468262032157007","",""
"2023","1","regular","false","Paulson Stadium","Georgia Southern","Sun Belt","fbs","34","0.9988370177841117","1418","1418","The Citadel","Southern","fcs","0","0.0011629822158882863","",""
"2023","1","regular","false","Bridgeforth Stadium","James Madison","Sun Belt","fbs","38","0.9693123027822952","1606","1606","Bucknell","Patriot","fcs","3","0.030687697217704812","",""
"2023","1","regular","false","FIU Stadium","Florida International","Conference USA","fbs","14","0.7558793922760062","1083","1083","Maine","CAA","fcs","12","0.2441206077239938","",""
"2023","1","regular","false","Los Angeles Memorial Coliseum","USC","Pac-12","fbs","66","0.9989598490882878","1713","1817","Nevada","Mountain West","fbs","14","0.0010401509117121677","1324","1220"
"2023","1","regular","false","Malone Stadium","Louisiana Monroe","Sun Belt","fbs","17","0.005563138130662999","1244","1255","Army","FBS Independents","fbs","13","0.994436861869337","1499","1488"
"2023","1","regular","false","M. M. Roberts Stadium","Southern Mississippi","Sun Belt","fbs","40","0.9974291178424662","1370","1370","Alcorn State","SWAC","fcs","14","0.0025708821575337604","",""
"2023","1","regular","false","Kyle Field","Texas A&M","SEC","fbs","52","0.9974375577304344","1586","1656","New Mexico","Mountain West","fbs","10","0.00256244226956559","1187","1117"
"2023","1","regular","false","Veterans Memorial Stadium","Troy","Sun Belt","fbs","48","0.9989237846352891","1556","1556","Stephen F. Austin","UAC","fcs","30","0.0010762153647109196","",""
"2023","1","regular","false","Liberty Bowl Memorial Stadium","Memphis","American Athletic","fbs","56","0.9987809614439721","1545","1545","Bethune-Cookman","SWAC","fcs","14","0.001219038556027896","",""
"2023","1","regular","false","Boone Pickens Stadium","Oklahoma State","Big 12","fbs","27","0.19601919883676525","1530","1530","Central Arkansas","UAC","fcs","13","0.8039808011632348","",""
"2023","1","regular","false","John O'Quinn Field at TDECU Stadium","Houston","Big 12","fbs","17","0.21996735273928036","1579","1580","UT San Antonio","American Athletic","fbs","14","0.7800326472607196","1605","1604"
"2023","1","regular","false","McLane Stadium","Baylor","Big 12","fbs","31","0.05664504481741026","1614","1559","Texas State","Sun Belt","fbs","42","0.9433549551825897","1294","1349"
"2023","1","regular","false","Vanderbilt Stadium","Vanderbilt","SEC","fbs","47","0.9185456621495672","1238","1238","Alabama A&M","SWAC","fcs","13","0.08145433785043277","",""
"2023","1","regular","false","Canvas Stadium","Colorado State","Mountain West","fbs","24","0.019271430393154952","1334","1290","Washington State","Pac-12","fbs","50","0.9807285696068451","1558","1602"
"2023","1","regular","false","Bill Snyder Family Football Stadium","Kansas State","Big 12","fbs","45","0.9989665143220542","1740","1740","Southeast Missouri State","Big South-OVC","fcs","0","0.0010334856779458113","",""
"2023","1","regular","false","Beaver Stadium","Penn State","Big Ten","fbs","38","0.9409596609450248","1833","1849","West Virginia","Big 12","fbs","15","0.05904033905497519","1438","1422"
"2023","1","regular","false","Cajun Field","Louisiana","Sun Belt","fbs","38","0.994116726968805","1537","1537","Northwestern State","Southland","fcs","13","0.005883273031194958","",""
"2023","1","regular","false","Bryant Denny Stadium","Alabama","SEC","fbs","56","0.9984904999606786","1954","2029","Middle Tennessee","Conference USA","fbs","7","0.0015095000393213764","1415","1340"
"2023","1","regular","false","Memorial Stadium","Illinois","Big Ten","fbs","30","0.9030397471002468","1666","1664","Toledo","Mid-American","fbs","28","0.09696025289975319","1496","1498"
"2023","1","regular","true","Bank of America Stadium","North Carolina","ACC","fbs","31","0.9985540289015463","1539","1579","South Carolina","SEC","fbs","17","0.00144597109845368","1580","1540"
"2023","1","regular","false","War Memorial Stadium","Wyoming","Mountain West","fbs","35","0.42393210336945625","1409","1412","Texas Tech","Big 12","fbs","33","0.5760678966305437","1588","1585"
"2023","1","regular","false","Lane Stadium","Virginia Tech","ACC","fbs","36","0.8216968782978209","1378","1421","Old Dominion","Sun Belt","fbs","17","0.1783031217021791","1376","1333"
"2023","1","regular","false","Benson Field at Yulman Stadium","Tulane","American Athletic","fbs","37","0.9986926451834698","1640","1671","South Alabama","Sun Belt","fbs","17","0.0013073548165302151","1490","1459"
"2023","1","regular","false","Aggie Memorial Stadium","New Mexico State","Conference USA","fbs","58","0.9987412929294822","1150","1150","Western Illinois","MVFC","fcs","21","0.0012587070705177839","",""
"2023","1","regular","false","Sun Bowl Stadium","UTEP","Conference USA","fbs","28","0.9984676717691553","1369","1369","Incarnate Word","Southland","fcs","14","0.001532328230844704","",""
"2023","1","regular","false","Arizona Stadium","Arizona","Pac-12","fbs","38","0.99894211214822","1416","1416","Northern Arizona","Big Sky","fcs","3","0.0010578878517799595","",""
"2023","1","regular","false","LaVell Edwards Stadium","BYU","Big 12","fbs","14","0.8412899458607378","1517","1544","Sam Houston State","Conference USA","fbs","0","0.1587100541392622","1500","1473"
"2023","1","regular","false","Snapdragon Stadium","San Diego State","Mountain West","fbs","36","0.9910457621962445","1537","1537","Idaho State","Big Sky","fcs","28","0.008954237803755483","",""
"2023","1","regular","false","Rose Bowl","UCLA","Pac-12","fbs","27","0.7453632626419013","1622","1631","Coastal Carolina","Sun Belt","fbs","13","0.25463673735809866","1396","1387"
"2023","1","regular","false","SHI Stadium","Rutgers","Big Ten","fbs","24","0.9950029668604261","1288","1330","Northwestern","Big Ten","fbs","7","0.004997033139573892","1338","1296"
"2023","1","regular","false","Spartan Stadium","San José State","Mountain West","fbs","17","0.000784855604403461","1412","1378","Oregon State","Pac-12","fbs","42","0.9992151443955966","1695","1729"
"2023","1","regular","true","Camping World Stadium","Florida State","ACC","fbs","45","0.9959757023157687","1732","1792","LSU","SEC","fbs","24","0.004024297684231293","1747","1687"
"2023","1","regular","false","Wallace Wade Stadium","Duke","ACC","fbs","28","0.6312020012434084","1518","1592","Clemson","ACC","fbs","7","0.3687979987565916","1728","1654"
"2023","2","regular","false","Papa John's Cardinal Stadium","Louisville","ACC","fbs","56","0.9989063339464476","1567","1567","Murray State","MVFC","fcs","0","0.0010936660535524334","",""
"2023","2","regular","false","Memorial Stadium","Indiana","Big Ten","fbs","41","0.9988523063164877","1307","1307","Indiana State","MVFC","fcs","7","0.0011476936835123075","",""
"2023","2","regular","false","Memorial Stadium","Kansas","Big 12","fbs","34","0.982372535709815","1415","1455","Illinois","Big Ten","fbs","23","0.017627464290185024","1664","1624"
"2023","2","regular","false","BB&T Field","Wake Forest","ACC","fbs","36","0.956853765264342","1608","1618","Vanderbilt","SEC","fbs","20","0.04314623473565804","1327","1317"
"2023","2","regular","false","Folsom Field","Colorado","Pac-12","fbs","36","0.34603500105798846","1196","1288","Nebraska","Big Ten","fbs","14","0.6539649989420115","1522","1430"
"2023","2","regular","false","McLane Stadium","Baylor","Big 12","fbs","13","0.3252578729597435","1559","1563","Utah","Pac-12","fbs","20","0.6747421270402565","1784","1780"
"2023","2","regular","false","Scott Stadium","Virginia","ACC","fbs","35","0.8920745397236187","1339","1350","James Madison","Sun Belt","fbs","36","0.10792546027638128","1606","1595"
"2023","2","regular","false","Lane Stadium","Virginia Tech","ACC","fbs","17","0.02467880309159426","1421","1412","Purdue","Big Ten","fbs","24","0.9753211969084057","1479","1488"
"2023","2","regular","false","Sanford Stadium","Georgia","SEC","fbs","45","0.9987889343592561","2033","2065","Ball State","Mid-American","fbs","3","0.0012110656407439135","1305","1273"
