"Season","Id","Name","Position","Team","Conference","CountablePlays","AveragePPA All","AveragePPA Pass","AveragePPA Rush","TotalPPA All","TotalPPA Pass","TotalPPA Rush"
"2023","4879499","Tony Johnson","WR","Florida Atlantic","American Athletic","7","1.721","1.721","","12.05","12.05",""
"2023","4431492","Roman Wilson","WR","Michigan","Big Ten","12","1.722","1.722","","20.661","20.661",""
"2023","4685573","Holden Staes","TE","Notre Dame","FBS Independents","6","1.724","1.724","","10.344","10.344",""
"2023","4579566","Christion Carter","TE","Northern Illinois","Mid-American","6","1.739","1.739","","10.436","10.436",""
"2023","4869252","Jaron Glover","WR","Michigan State","Big Ten","5","1.773","1.773","","8.864","8.864",""
"2023","5160748","JaQuae Jackson","WR","Rutgers","Big Ten","5","1.793","1.793","","8.965","8.965",""
"2023","4683412","Marquis Shoulders","WR","Tulsa","American Athletic","8","1.795","1.795","","14.364","14.364",""
"2023","4587977","Sam Brown","WR","Houston","Big 12","6","1.841","1.841","","11.044","11.044",""
"2023","4888723","Wesley Grimes","WR","Wake Forest","ACC","6","1.864","1.864","","11.181","11.181",""
"2023","4431600","Jayden Thomas","WR","Notre Dame","FBS Independents","7","1.892","1.892","","13.243","13.243",""
"2023","4708049","Gavin Bartholomew","TE","Pittsburgh","ACC","5","1.911","1.911","","9.553","9.553",""
"2023","4428367","Tayvion Robinson","WR","Kentucky","SEC","7","1.916","1.916","","13.413","13.413",""
"2023","4605951","C.J. Daniels","WR","Liberty","Conference USA","6","1.978","1.978","","11.867","11.867",""
"2023","4428167","Justin Olson","WR","Middle Tennessee","Conference USA","5","1.991","1.991","","9.955","9.955",""
"2023","4431509","Kaden Prather","WR","Maryland","Big Ten","8","2.012","2.012","","16.095","16.095",""
"2023","4431268","Chimere Dike","WR","Wisconsin","Big Ten","5","2.041","2.041","","10.205","10.205",""
"2023","4910239","Justus Ross-Simmons","WR","Colorado State","Mountain West","5","2.041","2.041","","10.207","10.207",""
"2023","5151528","Ethan Conner","TE","Troy","Sun Belt","5","2.067","2.067","","10.337","10.337",""
"2023","4880845","Charles Montgomery","WR","Marshall","Sun Belt","8","2.09","2.09","","16.724","16.724",""
"2023","4567244","Jadon Jackson","WR","Kansas State","Big 12","6","2.165","2.165","","12.988","12.988",""
"2023","4833597","Brayden Fowler-Nicolosi","QB","Colorado State","Mountain West","5","2.222","2.222","","11.112","11.112",""
"2023","4430817","Xzavier Henderson","WR","Cincinnati","Big 12","8","2.275","2.275","","18.199","18.199",""
"2023","5078453","London Humphreys","WR","Vanderbilt","SEC","7","2.41","2.796","0.096","16.872","16.776","0.096"
"2023","4686612","Tre Harris","WR","Ole Miss","SEC","6","2.541","2.541","","15.246","15.246",""
"2023","4567506","Tahj Washington","WR","USC","Pac-12","6","3.057","3.057","","18.341","18.341",""
"2023","4683151","Deion Burks","WR","Purdue","Big Ten","5","3.225","3.225","","16.127","16.127",""
"2023","5100582","Hudson Clement","WR","West Virginia","Big 12","5","3.589","3.589","","17.946","17.946",""
"2023","4916888","Bert Emanuel Jr.","QB","Central Michigan","Mid-American","5","4.011","3.818","4.302","20.057","11.453","8.603"
