"Season","Id","Name","Position","Team","Conference","CountablePlays","AveragePPA All","AveragePPA Pass","AveragePPA Rush","TotalPPA All","TotalPPA Pass","TotalPPA Rush"
"2023","4685565","Evan Stewart","WR","Texas A&M","SEC","26","0.931","0.948","0.515","24.21","23.695","0.515"
"2023","4685039","Michael Pratt","QB","Tulane","American Athletic","26","0.934","1.765","-0.036","24.278","24.707","-0.429"
"2023","4569382","Jordan Whittington","WR","Texas","Big 12","5","0.937","0.937","","4.687","4.687",""
"2023","4890973","Ashton Jeanty","RB","Boise State","Mountain West","12","0.948","2.856","0.313","11.381","8.567","2.815"
"2023","4427331","Khafre Brown","WR","South Florida","American Athletic","8","0.952","0.952","","7.614","7.614",""
"2023","4431234","Logan Loya","WR","UCLA","Pac-12","9","0.953","0.953","","8.573","8.573",""
"2023","4603192","Logan Diggs","RB","LSU","SEC","10","0.954","2.548","0.777","9.544","2.548","6.997"
"2023","4693798","Koali Nishigaya","WR","Hawai'i","Mountain West","8","0.961","0.961","","7.685","7.685",""
"2023","4912052","Justin Joly","TE","Connecticut","FBS Independents","6","0.966","0.966","","5.795","5.795",""
"2023","5081508","Eli Heidenreich","RB","Navy","American Athletic","8","0.968","1.502","0.79","7.742","3.005","4.737"
"2023","4430834","Jalen McMillan","WR","Washington","Pac-12","19","0.982","0.924","1.476","18.659","15.708","2.951"
"2023","4879192","Jonah Burton","WR","Baylor","Big 12","9","0.985","1.369","-0.363","8.861","9.586","-0.725"
"2023","4699782","Mekhi Shaw","WR","San Diego State","Mountain West","13","0.99","0.99","","12.869","12.869",""
"2023","4426893","Joshua Cephus","WR","UT San Antonio","American Athletic","24","0.99","0.99","","23.753","23.753",""
"2023","4703025","Ahmarian Granger","WR","Old Dominion","Sun Belt","6","0.991","1.042","0.734","5.945","5.211","0.734"
"2023","4430875","Daniel Jackson","WR","Minnesota","Big Ten","12","0.993","1.18","-1.063","11.915","12.978","-1.063"
"2023","4379405","Jaylen Johnson","WR","East Carolina","American Athletic","6","0.993","0.993","","5.961","5.961",""
"2023","4431651","Elijah Metcalf","WR","Middle Tennessee","Conference USA","7","0.993","0.993","","6.953","6.953",""
"2023","4433959","Ben Yurosek","TE","Stanford","Pac-12","11","0.993","1.135","-0.428","10.921","11.349","-0.428"
"2023","4570507","Devin Voisin","WR","South Alabama","Sun Belt","8","1","1","","8","8",""
"2023","4431353","Xavier Restrepo","WR","Miami","ACC","20","1.001","1.001","","20.019","20.019",""
"2023","4880101","Tyrone Howell","WR","Louisiana Monroe","Sun Belt","13","1.002","1.002","","13.023","13.023",""
"2023","4838269","OJ Arnold","RB","Georgia Southern","Sun Belt","13","1.005","2.081","0.682","13.065","6.243","6.822"
"2023","4569603","Malik Washington","WR","Virginia","ACC","20","1.006","1.006","","20.118","20.118",""
"2023","4921154","Eugene Wilson","WR","Florida","SEC","7","1.007","0.99","1.113","7.052","5.939","1.113"
"2023","4602940","Derwin Burgess Jr.","WR","Georgia Southern","Sun Belt","12","1.012","1.012","","12.148","12.148",""
"2023","4915980","John Mateer","QB","Washington State","Pac-12","6","1.015","1.367","0.944","6.089","1.367","4.722"
"2023","4686271","Robert Lewis","WR","Georgia State","Sun Belt","11","1.021","1.021","","11.226","11.226",""
"2023","4570115","Samario Rudolph","WR","UAB","American Athletic","5","1.023","1.023","","5.115","5.115",""
"2023","4370797","Billy Kemp","WR","Nebraska","Big Ten","5","1.031","1.031","","5.156","5.156",""
"2023","4683114","Will Pauling","WR","Wisconsin","Big Ten","11","1.033","1.033","","11.358","11.358",""
"2023","4366625","Reggie Brown","WR","James Madison","Sun Belt","9","1.037","1.037","","9.331","9.331",""
"2023","4816307","Joseph Himon II","RB","Northwestern","Big Ten","6","1.043","3.72","-0.296","6.258","7.441","-1.182"
