Season,Team,Conference,Offense Plays,Games,Offense RushingPlays Rate,Offense PassingPlays Rate,Defense RushingPlays Ppa,Defense PassingPlays Ppa
2023,Western Kentucky,Conference USA,126,2,0.341269841,0.658730159,0.390319561,-0.078434098
2023,Army,FBS Independents,165,2,0.76969697,0.218181818,0.160753567,0.079495163
2023,Connecticut,FBS Independents,106,2,0.5,0.481132075,0.225601082,0.208955709
2023,Notre Dame,FBS Independents,136,2,0.529411765,0.470588235,0.063822047,-0.073289658
2023,UMass,FBS Independents,145,2,0.537931034,0.455172414,0.289028684,0.267440149
2023,Akron,Mid-American,100,2,0.39,0.57,-0.292706539,0.15965034
2023,Ball State,Mid-American,76,2,0.513157895,0.486842105,0.291764466,0.350301636
2023,Bowling Green,Mid-American,115,2,0.460869565,0.504347826,0.172422938,0.316340523
2023,Buffalo,Mid-American,69,2,0.420289855,0.579710145,0.408202749,0.226402035
2023,Central Michigan,Mid-American,117,2,0.641025641,0.333333333,-0.023142355,0.539364518
2023,Eastern Michigan,Mid-American,100,2,0.48,0.5,0.247187006,0.151238533
2023,Kent State,Mid-American,145,2,0.579310345,0.406896552,0.322057737,0.329424526
2023,Miami (OH),Mid-American,91,2,0.505494505,0.483516484,0.019665934,0.378613032
2023,Northern Illinois,Mid-American,144,2,0.513888889,0.472222222,0.325018043,-0.189447458
2023,Ohio,Mid-American,275,2,0.527272727,0.454545455,-0.087334324,0.201725567
2023,Toledo,Mid-American,111,2,0.54954955,0.45045045,0.094019873,0.405725466
2023,Western Michigan,Mid-American,101,2,0.653465347,0.336633663,0.324994289,0.571378924
2023,Air Force,Mountain West,154,3,0.922077922,0.077922078,-0.002718859,-0.025449785
2023,Boise State,Mountain West,166,3,0.463855422,0.524096386,0.212200441,0.307113353
2023,Colorado State,Mountain West,50,3,0.38,0.6,0.102212471,0.317146482
2023,Fresno State,Mountain West,153,3,0.431372549,0.555555556,0.026651788,0.276101454
2023,Hawai'i,Mountain West,201,3,0.313432836,0.666666667,-0.040434615,0.202612549
2023,Nevada,Mountain West,40,3,0.425,0.575,0.763759632,1.00623848
2023,New Mexico,Mountain West,76,3,0.526315789,0.460526316,0.141475884,0.562471345
2023,San Diego State,Mountain West,176,3,0.568181818,0.414772727,0.221423682,0.254869563
2023,San José State,Mountain West,136,3,0.448529412,0.551470588,0.229361776,0.582530354
2023,UNLV,Mountain West,67,3,0.507462687,0.492537313,0.18550176,0.445270336
2023,Utah State,Mountain West,148,3,0.385135135,0.601351351,0.152995396,0.195582279
2023,Wyoming,Mountain West,127,3,0.582677165,0.409448819,-0.01308668,0.27843495
2023,Arizona,Pac-12,106,3,0.396226415,0.566037736,-0.091129711,0.293710445
2023,Arizona State,Pac-12,127,3,0.503937008,0.480314961,-0.01765982,0.168866403
2023,California,Pac-12,149,3,0.503355705,0.476510067,0.019374072,0.33070267
2023,Colorado,Pac-12,148,3,0.337837838,0.662162162,0.345338206,0.344045979
2023,Oregon,Pac-12,110,3,0.381818182,0.618181818,0.274249929,0.050972318
2023,Oregon State,Pac-12,84,3,0.523809524,0.476190476,0.001294231,-0.151884765
2023,Stanford,Pac-12,93,3,0.483870968,0.505376344,0.263021478,0.402143927
2023,UCLA,Pac-12,110,3,0.472727273,0.527272727,-0.104377155,0.243356747
2023,USC,Pac-12,118,3,0.440677966,0.559322034,0.185011716,0.040186807
2023,Utah,Pac-12,124,3,0.588709677,0.411290323,0.037481793,0.166237619
2023,Washington,Pac-12,96,3,0.28125,0.697916667,0.13240287,0.116812505
2023,Washington State,Pac-12,143,3,0.433566434,0.566433566,-0.156105772,0.157709281
2023,Alabama,SEC,103,3,0.514563107,0.485436893,0.059887076,0.300046133
2023,Arkansas,SEC,113,3,0.628318584,0.371681416,-0.004839931,-0.205235785
2023,Auburn,SEC,96,3,0.614583333,0.375,0.214770008,-0.294060322
2023,Florida,SEC,113,3,0.433628319,0.566371681,-0.020163357,0.020175137
2023,Georgia,SEC,95,3,0.452631579,0.547368421,-0.095131805,-0.280787529
2023,Kentucky,SEC,99,3,0.363636364,0.616161616,-0.092641552,0.311890225
2023,LSU,SEC,109,3,0.394495413,0.605504587,0.242952138,0.572296068
2023,Mississippi State,SEC,109,3,0.596330275,0.403669725,-0.071498712,0.363479781
2023,Missouri,SEC,125,3,0.616,0.376,-0.138349757,0.225060068
2023,Ole Miss,SEC,100,3,0.48,0.51,-0.111296132,0.1703677
2023,South Carolina,SEC,127,3,0.377952756,0.622047244,0.017328038,0.458810296
2023,Tennessee,SEC,133,3,0.526315789,0.473684211,-0.050550409,-0.044888173
2023,Texas A&M,SEC,127,3,0.385826772,0.614173228,-0.15870151,0.74153669
2023,Vanderbilt,SEC,177,3,0.412429379,0.570621469,0.113565483,0.403079146
2023,Appalachian State,Sun Belt,150,3,0.56,0.433333333,0.444114145,0.232720919
2023,Arkansas State,Sun Belt,77,3,0.337662338,0.649350649,0.133312191,0.685228508
2023,Coastal Carolina,Sun Belt,151,3,0.476821192,0.523178808,0.110261623,0.052937127
2023,Georgia Southern,Sun Belt,193,3,0.352331606,0.616580311,0.27290578,0.361131896
2023,Georgia State,Sun Belt,123,3,0.634146341,0.365853659,-0.012916755,0.449157556
2023,James Madison,Sun Belt,114,3,0.552631579,0.438596491,-0.101274015,0.580134003
2023,Louisiana,Sun Belt,128,3,0.484375,0.5078125,0.041105207,0.078409999
2023,Louisiana Monroe,Sun Belt,124,3,0.564516129,0.427419355,-0.067181205,0.596592424
2023,Marshall,Sun Belt,124,3,0.491935484,0.5,0.005264138,-0.005921457
2023,Old Dominion,Sun Belt,119,3,0.546218487,0.43697479,-0.034472495,0.445581635
2023,South Alabama,Sun Belt,122,3,0.508196721,0.467213115,-0.023163062,0.869508186
2023,Southern Mississippi,Sun Belt,77,3,0.415584416,0.571428571,0.438270577,0.048529006
2023,Texas State,Sun Belt,126,3,0.476190476,0.523809524,-0.013176856,0.337783985
2023,Troy,Sun Belt,120,3,0.516666667,0.466666667,0.027081894,0.110070099
